planned_run_cell_id,ablation_id,condition_id,dataset_id,budget_id,role_id,branch_slot,resolved_branch_rule,model_repeat_index,aux_repeat_index,seed_id,seed_purpose,comparison_reference,notebook_stage,gate,terminal_required,analysis_outputs_required
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR08,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,8,0,1524267706,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR09,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,9,0,1626809111,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR10,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,10,0,1044388602,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR11,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,11,0,759099956,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR12,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,12,0,32837653,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR13,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,13,0,260042242,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR14,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,14,0,993061113,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR15,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,15,0,1329114207,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR16,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,16,0,1258432514,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR17,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,17,0,110629601,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR18,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,18,0,8307057,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR19,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,19,0,1187237909,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR00,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,0,0,2129739924,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR01,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,1,0,717945016,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR02,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,2,0,456642431,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR03,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,3,0,1527155878,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR04,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,4,0,812242328,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR05,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,5,0,431672963,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR06,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,6,0,2043307524,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR07,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,7,0,1283820860,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR08,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,8,0,969983137,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR09,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,9,0,1295417804,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR10,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,10,0,4731238,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR11,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,11,0,17015795,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR12,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,12,0,1183412722,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR13,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,13,0,1039471814,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR14,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,14,0,715980120,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR15,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,15,0,413605894,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR16,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,16,0,134103124,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR17,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,17,0,1545311686,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR18,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,18,0,1289784472,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-BNCI2014_001-SAN-STRAT-FULL_TRAIN-MR19,A0,A0-RAW-ACCEPT-ALL,BNCI2014_001,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,19,0,232551011,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR00,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,0,0,353193142,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR01,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,1,0,1441984332,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR02,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,2,0,1706130027,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR03,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,3,0,813217056,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR04,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,4,0,1912863491,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR05,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,5,0,1695887187,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR06,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,6,0,799700108,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR07,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,7,0,2116534061,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR08,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,8,0,256252634,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR09,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,9,0,2067730222,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR10,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,10,0,1948115562,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR11,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,11,0,854011853,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR12,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,12,0,6458304,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR13,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,13,0,499903530,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR14,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,14,0,1862793748,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR15,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,15,0,1165297619,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR16,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,16,0,242333923,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR17,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,17,0,86140891,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR18,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,18,0,557871775,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-Lee2019_MI-SAN-STRAT-FULL_TRAIN-MR19,A0,A0-RAW-ACCEPT-ALL,Lee2019_MI,FULL_TRAIN,SANITY,SAN-STRAT,FIXED_BRANCH,19,0,271047565,SAMPLER,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR000,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,0,585423530,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR001,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,1,1859828439,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR002,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,2,1635818564,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR003,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,3,734713671,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR004,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,4,1465908117,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR005,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,5,2067985530,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR006,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,6,352168990,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR007,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,7,850469179,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR008,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,8,752368210,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR009,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,9,973939401,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR010,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,10,1774597112,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR011,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,11,1818808299,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR012,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,12,1978458525,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR013,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,13,565834424,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR014,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,14,1674579988,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR015,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,15,1704458091,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR016,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,16,1201275291,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR017,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,17,1715235603,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR018,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,18,504821558,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR019,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,19,780836715,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR020,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,20,701061276,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR021,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,21,446887302,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR022,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,22,1850113594,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR023,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,23,690255154,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR024,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,24,1333776322,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR025,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,25,1296410838,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR026,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,26,789926506,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
P02-A0-PhysioNetMI-SAN-PERM-FULL_TRAIN-MR00-PR027,A0,A0-RAW-ACCEPT-ALL,PhysioNetMI,FULL_TRAIN,SANITY,SAN-PERM,FIXED_BRANCH,0,27,1005150110,PERMUTATION,A0_PREDECLARED_MODEL_FAMILY,15,G15,True,True
