source_path,source_sha256,source_bytes,source_role,classification,destination_path,transformation,reason,consumers,validation
catalogs/absolute_path_exception_ledger_R1.yaml,5b5acfc5e110cf7726c177938181efefc75de03628469c87033cce7d6310596d,649,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/all_layer_artifact_family_matrix.yaml,2b02171ad2b810b20a98535ad20b6edbe681c1d7d12e32d4308d530658192591,2856,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/all_phase_artifact_contract_matrix.yaml,4fe60e8efb079b872e093ca7a453b864a8041bce626c4307abacb69934f88202,4456,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/authoritative_taxonomy_and_status_registry_R1.yaml,f6d7b3fd5479dcf8a6adfad71f51f8d381a983957021e704bc5fb8da89e13e5a,1303,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/authority_requirement_inventory.csv,209938a1624ca827a5d249ef5882e9a0aeedba60c6e729b11dea665c486b620a,6239528,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/authority_requirement_inventory_summary.json,09948db93f3fbcc9f3d406cd36b4af5f9ee1b0002e6f6f2be60daa7a64b717d7,699,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/config_catalog.yaml,4b75d0e105859124196e4fe1a0acfe6424c2a06ac91bbdfcedc543ead80c10c7,1666,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/consolidated_layers_0_to_10_foundation_matrix.csv,d875a868b33eb3d4398bc1e8e71be0ac1fd6d927d897f5d2cce6da2cb4a47077,12322,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/consolidated_layers_0_to_10_foundation_matrix.yaml,600fe68f7a6396745932ac2bbce28f7b2769b1d13736039acab1e26a85fec71b,15395,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/error_code_catalog.yaml,94af5d2fe840824a5a39ef3ff23ee1ef070c77e3e55e8d527aa916bd2f58a72f,12278,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/external_primary_standards_ledger.yaml,d242ddf610afd4b07f6bf3076c9f4ef882c761d70ac068a4bdb5390d4299602d,509,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_ablation_readiness_matrix.yaml,3950770e5a1f83ff14bb8635fe795905f4db5c3ab230e34efd7252dc4b654e73,15700,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_all_layer_artifact_matrix.yaml,afe7d0fb5ee7099fa54c9e04fcc81bbd9d29c4f833482204f885f26e5cb8c70e,17765,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_all_phase_artifact_contract_matrix.yaml,ceee226b0d30eab355fc87384ac1a980aa7d04337b66aa08ccc096bf4e28271d,24438,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_config_catalog.yaml,5d52dc2690a0bab80a2fbd1b98714bd432f0cd3d227a8509a96341b08a1bb9a3,17893,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_environment_catalog.yaml,f6e75e7c576b2d3efbafd14852a8d2eaf266db09935d934943a2fa51baf8fa68,809,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_error_code_catalog.yaml,2a7d875cce76c2f97e154d43345c9c12ef83231712b58dc2fdaba0f1732af903,12370,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_fixture_catalog.yaml,bdcbd8999aebb2317ccafa6eeaf31d2a2445426662d9a255fdf9664ad0864f32,7032,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_module_interface_catalog.yaml,20c372b103566da587320f228fa3dbb6e30ad1e503152d1252e2f1c114334013,4208,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_path_catalog.yaml,b647a089d51cf7b89153a0bc9403312bf5ea7cd8f1efedd3e1e6f06f1a8b36f3,4347,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_preliminary_future_document_boundary_ledger.yaml,5a1faf5bc43ccdb54e852f297923f308763e3686038b405fee83594046f85437,1493,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_record_family_coverage_matrix.yaml,417195626d6ddd0605ea68ac8046deeded22b7e56b4cce006544db8631de258c,66951,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_required_output_compliance_R3.yaml,81b066a0bf81a2f34b61df25c400c7bb29a8ec7dbcde37c3aadd6d11eed34116,3704,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_requirement_ledger.csv,26e56fc031f42f9a51822fe937cb5933d9f6caef6d4392c40b05aca9cb5af394,19200742,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_requirement_ledger_local_first_summary_R1.json,73813012d20b05d22ce302da6239438d21fe2b23ae2605a9d5dbeb4ca43d13af,418,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_requirement_ledger_summary.json,45e26153b3cf92c9fff546698729701185b9aed6d10e6cc3f629bb112aeb2682,671,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_schema_catalog.yaml,d9daa156b47450212ee4c0c6b8fb99113123240f496d77a291c7153d965ded21,55633,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_source_utilization_matrix.yaml,54a877da9e503b0b8c515729b3d7fa12a3d501515627bce498feb300e0b08de0,7300,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_source_utilization_matrix_local_first_R1.yaml,4115cb0daa1b4cb68295cef83891adf63cbc20586dcedb0b22fc29d5bbe87487,7810,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_test_catalog.yaml,67cbf4ee3cd6e8a886a5bfe970c69b944ffa8233065f047c8fc6c2c3c83af41e,1268,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/final_validator_catalog.yaml,df864b63bb619c1d505fea96f667b5fdf92c92fc10431c3c5690b054c2dab395,15296,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/fixture_catalog.yaml,c9e856abd35116c5dde4ee2a776622154214424d2ee4a93bef244edbd4ae6356,6943,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/future_artifact_readiness_matrix.yaml,44f65b82cbda2a56695e83c1ca688e77b77ee681fde1dfaa73e5e4da88d907cb,17701,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/historical_to_local_first_gate_crosswalk_R1.yaml,526d796f403f604207340bb8d443df1a41bc1c26afbcfe30bcd2529b49190cc1,688,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/layer_foundation_matrix.yaml,c639f81600fea1f519ef2b721e5ae70ee242f959c77e2b34aec606cad888e625,5284,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/layers_0_to_3_official_audit_requirement_matrix.csv,07f53ed565a6dbfd04d75a770a4783ab1c6048359c38b44a610bf491d94f36a7,10828187,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/layers_0_to_3_official_audit_requirement_matrix_summary.json,b3fbcbde31ac9bba5e4029546bab16f5627f45a4bcfba0fe73f36057d59e60a7,134,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/layers_4_to_7_official_audit_requirement_matrix.csv,4fd55671943f4db8167d6c192555f9e1f98353a6e5f7d8993452ced822c0a5e0,8288246,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/layers_4_to_7_official_audit_requirement_matrix_summary.json,e8a2bd460f6b21812c511a274a98365744e75b1b41d7682b1fc3dcbf488d1ad5,344,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/layers_8_to_10_official_audit_requirement_matrix.csv,0f45eb03f7502f65a198f5b98cc35c280dc05fe1c8076af3c9ac2bcfd9ac6339,12803163,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/layers_8_to_10_official_audit_requirement_matrix_summary.json,be36e8dd797169e42c72f4212152bc8a679cee406b59be6369c440a6cdc2a2cc,286,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/local_first_required_output_compliance_R1.yaml,b9f62752ad64ec87d97ab815fd2c6b6cb40ced166deb89fc26551009914728bb,2287,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/module_interface_catalog.yaml,c5a52d184b08219fabb4e8b4aabb64772fd53c82108dfc449fed997797b3aa13,4110,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/path_catalog.yaml,f8c99550c87c084d46d791f06f13f4c9d354102b83df6eef2e9edb33c989fcfa,4261,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/preliminary_document_boundary_local_first_R1.yaml,fd2205fbacb6e51ac02262ef700b33840c1542a186439657ca36946acb2f3623,1064,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/preliminary_future_document_boundary_ledger.yaml,7b1a93aeed40c95d204efab7444a413a9fb3803cbbb3737ed6594b5a68c50aed,802,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/record_family_catalog.yaml,4c6abebeb1fafaeec85dcd53231612d7524c55b2824c76be94d7ad5d433d1dd8,28806,CATALOG,MAIN_TREE_DIRECT,catalogs/record_family_catalog.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
catalogs/requirement_traceability_matrix.csv,c41826df8bf175d12115a52e9d344072cd205c4dc8ff0b461d372acb4e76d445,9495015,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/source_utilization_matrix.yaml,e1c2079e685c22131f8ae45c642a39e0c50fcbdeb28a9591a3abf70ff2483656,3523,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/test_catalog.yaml,5d2e49ca6caebe453c007bf591c4f54849ebfd061f68b90aaf1b034e0a277f7e,1182,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/validator_coverage_matrix.yaml,441f788ed92b43491c36cbb8cdc38bc3149a016a89f1bf46ce5ef52d2332abe9,15205,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
catalogs/work_package_map.yaml,ba4fc587044c7130c0c1da065208f43117b540b6692c290d7b2223985b2eae35,1040,CATALOG,RELEASE_ASSET_ONLY,,COPIED_BYTE_IDENTICAL,Preserved in the exact R5 archive; not required in the normal working tree,"[""R5 provenance/release assets""]",SOURCE_R5_MANIFEST_VERIFIED
configs/environments/local-repro.yaml,04c78fc215e63677bb882308e99ef1eff5c240860c866a501cff33176e033625,540,CONFIGURATION,MAIN_TREE_DIRECT,configs/environments/local-repro.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/environments/python311.yaml,14fe7c3682ce968a8c8e420d66063a257d22650f8d14fa75fa673d320590caef,276,CONFIGURATION,MAIN_TREE_DIRECT,configs/environments/python311.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/environments/python312.yaml,108c6c6a88759fd631162d1ba0ad4b0c5980e5586a3f5aaee33a1f4030db779d,276,CONFIGURATION,MAIN_TREE_DIRECT,configs/environments/python312.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/environments/python313.yaml,b55f8cc0c4b44edfd6a8cf9bc293beea128ff0b9416d13a08ba7765b8e579148,285,CONFIGURATION,MAIN_TREE_DIRECT,configs/environments/python313.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layer0.yaml,c04c3e794733c968c30e3c38706a5336704f8b3dc2e08c6fc1aff68d1ad48f17,190,CONFIGURATION,MAIN_TREE_DIRECT,configs/layer0.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layer10.yaml,6f7800580dcea95ef18f2273680dba23ccf16d0974ffd20063230e1452648708,145,CONFIGURATION,MAIN_TREE_DIRECT,configs/layer10.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layers/l10_reproducibility.yaml,71d8a431f45c2ab7634ad48752c4de48edc2fd84c84ffa93a5dd6e67a680a39c,363,CONFIGURATION,MAIN_TREE_DIRECT,configs/layers/l10_reproducibility.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layers/l4_iharq.yaml,dbec59c690821341bdbaecc012fe9bdcbd9e74037c271b11c20a42e2ab365557,381,CONFIGURATION,MAIN_TREE_DIRECT,configs/layers/l4_iharq.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layers/l5_temporal_trust.yaml,eec7df0b5642cac51e060b0edabc59746f4bd490a93c92d75d5b8ac25cf6b033,313,CONFIGURATION,MAIN_TREE_DIRECT,configs/layers/l5_temporal_trust.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layers/l6_readiness_policy.yaml,490d3c7825e95b1de6e638950bdf402a15c9545120c9be77d927813c02187d51,251,CONFIGURATION,MAIN_TREE_DIRECT,configs/layers/l6_readiness_policy.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layers/l7_closed_loop.yaml,37edea5fd204aa30c5974f67d544f1766727555bc4d8ad3685940b09404a1243,267,CONFIGURATION,MAIN_TREE_DIRECT,configs/layers/l7_closed_loop.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layers/l8_stressforge.yaml,e14a0cabcb4cef8b8d7b34a4ca2b847237afaa567210ab937716d9f1722e79af,385,CONFIGURATION,MAIN_TREE_DIRECT,configs/layers/l8_stressforge.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layers/l9_embodiment.yaml,c0a35f96951bd679f5b90a23bbc3b48bfbe9a6fc0a493ebc9d540ac1a503b317,407,CONFIGURATION,MAIN_TREE_DIRECT,configs/layers/l9_embodiment.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/layers/phase0_foundations.yaml,5490563287c49ff8f201f21b81256d45314b1eabe01460503357daff9c05c0ac,1226,CONFIGURATION,MAIN_TREE_DIRECT,configs/layers/phase0_foundations.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/phases/p00.yaml,efdacd3f54748b8dc8b83f672e7030e410902dd995190c3486a1399c0345fad2,350,CONFIGURATION,MAIN_TREE_DIRECT,configs/phases/p00.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
configs/phases/p00_audit3.yaml,e538e2a10436c0e0f38b8cbef315c16bc855fab0543bf4588514d00b2382a1df,353,CONFIGURATION,MAIN_TREE_DIRECT,configs/phases/p00_audit3.yaml,COPIED_BYTE_IDENTICAL,Required current reviewer-facing or runtime file,"[""main-tree reviewer/runtime""]",SOURCE_R5_MANIFEST_VERIFIED; DESTINATION_VERIFIED
